main_category,subcategory,sub_subcategory,title,price,rating,url,price_usd,title_length,brand_name,price_category
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Baseus CW-YMS 100W USB-C to USB-C PD Cable PD3.0 Power Delivery QC4.0 Fast Charging Data Transmission Cord Line For Samsung Galaxy Note 20 For iPad Pro 2020 MacBook Air 2020 Mi 10 Huawei P40,,,https://www.banggood.com/Baseus-CW-YMS-100W-USB-C-to-USB-C-PD-Cable-PD3_0-Power-Delivery-QC4_0-Fast-Charging-Data-Transmission-Cord-Line-For-Samsung-Galaxy-Note-20-For-iPad-Pro-2020-MacBook-Air-2020-Mi-10-Huawei-P40-p-1750234.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=45763,24.99,190,Baseus,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,[GaN Tech] Blitzwolf BW-i113 105W 6-in-1 Desktop Charging Station with Wireless Charger PD QC Fast Charging with LED Light EU Plug for iPhone 16 16 Pro 15 14 13 Pro Max for iPad Pro for Macbook Pro for Airpods,,,https://www.banggood.com/GaN-Tech-Blitzwolf-BW-i113-105W-6-in-1-Desktop-Charging-Station-with-Wireless-Charger-PD-QC-Fast-Charging-with-LED-Light-EU-Plug-for-iPhone-16-16-Pro-15-14-13-Pro-Max-for-iPad-Pro-for-Macbook-Pro-for-Airpods-p-2033135.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=47184,24.99,209,GaN,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Touch Screen Pen for Android Apple for Ipad Tablet Touch Screen Pen Two in One Capacitive Pen Mobile Phone Anti Mistouch Stylus,,,https://www.banggood.com/Touch-Screen-Pen-for-Android-Apple-for-Ipad-Tablet-Touch-Screen-Pen-Two-in-One-Capacitive-Pen-Mobile-Phone-Anti-Mistouch-Stylus-p-2015814.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,24.99,127,Touch,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,Ulefone Armor 25T Pro 5G Thermal Imaging 12GB 256GB 50MP Dual Camera 64MP Night Vision Dimensity 6300 6.78 inch 120Hz 6500mAh 33W Fast Charge Wireless Charge Android 14 NFC IP68 IP69K Waterproof Rugged Smartphone,,,https://www.banggood.com/Ulefone-Armor-25T-Pro-5G-Thermal-Imaging-12GB-256GB-50MP-Dual-Camera-64MP-Night-Vision-Dimensity-6300-6_78-inch-120Hz-6500mAh-33W-Fast-Charge-Wireless-Charge-Android-14-NFC-IP68-IP69K-Waterproof-Rugged-Smartphone-p-2016029.html?rmmds=PhonesFlashDeals&cur_warehouse=HK&ID=6287830,24.99,212,Ulefone,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,BlitzWolf BW-AT7 1.53-inch Screen Built-in Flashlight bluetooth Call Heart Rate Blood Oxygen Monitor Sleep Monitoring Breathing Exercise Multi-sport Modes IP68 Waterproof Smart Watch,US$21.99,,https://www.banggood.com/BlitzWolf-BW-AT7-1_53-inch-Screen-Built-in-Flashlight-bluetooth-Call-Heart-Rate-Blood-Oxygen-Monitor-Sleep-Monitoring-Breathing-Exercise-Multi-sport-Modes-IP68-Waterproof-Smart-Watch-p-2039724.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,21.99,182,BlitzWolf,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,BlitzWolf® BW-BTS8 bluetooth Earbuds Bone Conduction Earphone Built-in 32GB Memory IPX8 Waterproof Low Latency Game Sport Headphones with Mic,US$21.89,,https://www.banggood.com/BlitzWolf-BW-BTS8-bluetooth-Earbuds-Bone-Conduction-Earphone-Built-in-32GB-Memory-IPX8-Waterproof-Low-Latency-Game-Sport-Headphones-with-Mic-p-1994895.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=532398,21.89,141,BlitzWolf®,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,[World Premiere]Zeblaze Stratos 4 1.43-inch AMOLED GPS 5ATM&IP69K Waterproof Built-in Flashlight Compass&Barometric Altimeter 60 days Battery Life Voice Assistant bluetooth Call Heart Rate SpO2 Monitor Sleep Monitoring Multi-sport Modes Smart Watch,US$54.99,,https://www.banggood.com/World-PremiereZeblaze-Stratos-4-1_43-inch-AMOLED-GPS-5ATMandIP69K-Waterproof-Built-in-Flashlight-CompassandBarometric-Altimeter-60-days-Battery-Life-Voice-Assistant-bluetooth-Call-Heart-Rate-SpO2-Monitor-Sleep-Monitoring-Multi-sport-Modes-Smart-Watch-p-2034894.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,54.99,248,World,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,BlitzWolf® BW-WA4 30W Wireless Speaker Portable bluetooth Speaker Double Drivers Bass TWS Stereo IPX6 Waterproof TF Card AUX Outdoors Speaker,US$30.99,,https://www.banggood.com/BlitzWolf-BW-WA4-30W-Wireless-Speaker-Portable-bluetooth-Speaker-Double-Drivers-Bass-TWS-Stereo-IPX6-Waterproof-TF-Card-AUX-Outdoors-Speaker-p-1911830.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,30.99,141,BlitzWolf®,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,[World Premiere]Zeblaze Stratos 2 Plus 1.43 inch AMOLED GPS Health and Fitness Barometric Altimeter Compass 3 ATM Waterproof Smart Watch,US$36.99,,https://www.banggood.com/World-PremiereZeblaze-Stratos-2-Plus-1_43-inch-AMOLED-GPS-Health-and-Fitness-Barometric-Altimeter-Compass-3-ATM-Waterproof-Smart-Watch-p-2044073.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=6287830,36.99,136,World,Medium
"Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood","Buy Phones & Accessories, Phones & Accessories at unbeatable price on Banggood",,BlitzWolf® BW-FYE16 LED Screen TWS Earbuds bluetooth Earphone Colorful Touch Screen Active Noise Cancelling 32h Battery Life 3D Spatial Audio HD Calls IPX5 Waterproof Portable Headset,US$17.99,,https://www.banggood.com/BlitzWolf-BW-FYE16-LED-Screen-TWS-Earbuds-bluetooth-Earphone-Colorful-Touch-Screen-Active-Noise-Cancelling-32h-Battery-Life-3D-Spatial-Audio-HD-Calls-IPX5-Waterproof-Portable-Headset-p-2011924.html?rmmds=PhonesFlashDeals&cur_warehouse=CN&ID=532398,17.99,183,BlitzWolf®,Low
